set,set_uid,exercise,time,rest,reps,weight_value,volume_value,time_seconds,rest_seconds,time_iso8601,rest_iso8601,activity_id
001,001_18623520245,Barbell Bench Press,"0:52,8","1:21,4",15,20.0,300.0,52.8,81.4,"PT52,800S","PT1M21,400S",18623520245
002,002_18623520245,Barbell Bench Press,"0:44,9","1:31,7",12,30.0,360.0,44.9,91.7,"PT44,900S","PT1M31,700S",18623520245
003,003_18623520245,Barbell Bench Press,"0:37,6","2:18,3",10,30.0,300.0,37.6,138.3,"PT37,600S","PT2M18,300S",18623520245
004,004_18623520245,Barbell Back Squat,"1:12,1","1:26,9",15,30.0,450.0,72.1,86.9,"PT1M12,100S","PT1M26,900S",18623520245
005,005_18623520245,Barbell Back Squat,"0:56,0","1:34,1",11,40.0,440.0,56.0,94.1,PT56S,"PT1M34,100S",18623520245
006,006_18623520245,Barbell Back Squat,"0:54,5","1:35,5",11,40.0,440.0,54.5,95.5,"PT54,500S","PT1M35,500S",18623520245
007,007_18623520245,Seated Cable Row,"0:49,1","1:05,3",15,33.0,495.0,49.1,65.3,"PT49,100S","PT1M5,300S",18623520245
008,008_18623520245,Seated Cable Row,"0:36,8","1:18,3",12,40.0,480.0,36.8,78.3,"PT36,800S","PT1M18,300S",18623520245
009,009_18623520245,Seated Cable Row,"0:35,6","1:27,0",11,42.5,467.5,35.6,87.0,"PT35,600S",PT1M27S,18623520245
010,010_18623520245,Weighted Crunch,"0:44,0","1:06,9",15,25.0,375.0,44.0,66.9,PT44S,"PT1M6,900S",18623520245
011,011_18623520245,Weighted Crunch,"0:35,0","1:22,0",11,35.0,385.0,35.0,82.0,PT35S,PT1M22S,18623520245
012,012_18623520245,Weighted Crunch,"0:33,9","1:10,3",11,35.0,385.0,33.9,70.3,"PT33,900S","PT1M10,300S",18623520245
013,013_18623520245,Dumbbell Shoulder Press,"0:43,7","0:49,1",15,6.0,90.0,43.7,49.1,"PT43,700S","PT49,100S",18623520245
014,014_18623520245,Dumbbell Shoulder Press,"0:37,7","1:25,9",12,10.0,120.0,37.7,85.9,"PT37,700S","PT1M25,900S",18623520245
015,015_18623520245,Dumbbell Shoulder Press,"0:36,7","1:51,7",12,10.0,120.0,36.7,111.7,"PT36,700S","PT1M51,700S",18623520245
016,016_18623520245,Barbell Deadlift,"1:45,6","1:57,6",15,30.0,450.0,105.6,117.6,"PT1M45,600S","PT1M57,600S",18623520245
017,017_18623520245,Barbell Deadlift,"1:12,8","1:37,1",10,40.0,400.0,72.8,97.1,"PT1M12,800S","PT1M37,100S",18623520245
018,018_18623520245,Barbell Deadlift,"1:09,6","2:15,3",8,40.0,320.0,69.6,135.3,"PT1M9,600S","PT2M15,300S",18623520245
019,019_18623520245,Triceps Press-down,"0:36,0","1:08,0",15,22.5,337.5,36.0,68.0,PT36S,PT1M8S,18623520245
020,020_18623520245,Triceps Press-down,"0:31,7","1:24,1",9,35.0,315.0,31.7,84.1,"PT31,700S","PT1M24,100S",18623520245
021,021_18623520245,Triceps Press-down,"0:36,9","1:01,2",9,35.0,315.0,36.9,61.2,"PT36,900S","PT1M1,200S",18623520245
022,022_18623520245,Knee Raises,"0:42,6","1:15,5",15,Bodyweight,,42.6,75.5,"PT42,600S","PT1M15,500S",18623520245
023,023_18623520245,Knee Raises,"0:29,1","1:39,1",11,Bodyweight,,29.1,99.1,"PT29,100S","PT1M39,100S",18623520245
024,024_18623520245,Knee Raises,"0:26,0","1:05,5",9,Bodyweight,,26.0,65.5,PT26S,"PT1M5,500S",18623520245
025,025_18623520245,Dumbbell Hammer Curl,"0:51,7","1:36,0",15,8.0,120.0,51.7,96.0,"PT51,700S",PT1M36S,18623520245
026,026_18623520245,Dumbbell Hammer Curl,"0:40,3","1:31,7",12,10.0,120.0,40.3,91.7,"PT40,300S","PT1M31,700S",18623520245
027,027_18623520245,Dumbbell Hammer Curl,"0:41,1","1:01,3",10,10.0,100.0,41.1,61.3,"PT41,100S","PT1M1,300S",18623520245
028,028_18623520245,Dumbbell Lateral Raise,"0:46,0","1:27,7",15,7.0,105.0,46.0,87.7,PT46S,"PT1M27,700S",18623520245
029,029_18623520245,Dumbbell Lateral Raise,"0:28,7","1:12,2",10,9.0,90.0,28.7,72.2,"PT28,700S","PT1M12,200S",18623520245
030,030_18623520245,Dumbbell Lateral Raise,"0:39,0","3:05,0",9,9.0,81.0,39.0,185.0,PT39S,PT3M5S,18623520245
031,031_18623520245,Weighted Seated Calf Raise,"0:24,4","0:56,3",15,20.0,300.0,24.4,56.3,"PT24,400S","PT56,300S",18623520245
032,032_18623520245,Weighted Seated Calf Raise,"0:25,8","1:14,4",10,40.0,400.0,25.8,74.4,"PT25,800S","PT1M14,400S",18623520245
033,033_18623520245,Weighted Seated Calf Raise,"0:28,8","0:04,6",10,40.0,400.0,28.8,4.6,"PT28,800S","PT4,600S",18623520245
