set,set_uid,exercise,time,rest,reps,date,weight_value,volume_value,time_seconds,rest_seconds,activity_id
001,00118623520245,Barbell Bench Press,"0:52,8","1:21,4",15,Unknown,20.0,300.0,52.8,81.4,18623520245
002,00218623520245,Barbell Bench Press,"0:44,9","1:31,7",12,Unknown,30.0,360.0,44.9,91.7,18623520245
003,00318623520245,Barbell Bench Press,"0:37,6","2:18,3",10,Unknown,30.0,300.0,37.6,138.3,18623520245
004,00418623520245,Barbell Back Squat,"1:12,1","1:26,9",15,Unknown,30.0,450.0,72.1,86.9,18623520245
005,00518623520245,Barbell Back Squat,"0:56,0","1:34,1",11,Unknown,40.0,440.0,56.0,94.1,18623520245
006,00618623520245,Barbell Back Squat,"0:54,5","1:35,5",11,Unknown,40.0,440.0,54.5,95.5,18623520245
007,00718623520245,Seated Cable Row,"0:49,1","1:05,3",15,Unknown,33.0,495.0,49.1,65.3,18623520245
008,00818623520245,Seated Cable Row,"0:36,8","1:18,3",12,Unknown,40.0,480.0,36.8,78.3,18623520245
009,00918623520245,Seated Cable Row,"0:35,6","1:27,0",11,Unknown,42.5,467.5,35.6,87.0,18623520245
010,01018623520245,Weighted Crunch,"0:44,0","1:06,9",15,Unknown,25.0,375.0,44.0,66.9,18623520245
011,01118623520245,Weighted Crunch,"0:35,0","1:22,0",11,Unknown,35.0,385.0,35.0,82.0,18623520245
012,01218623520245,Weighted Crunch,"0:33,9","1:10,3",11,Unknown,35.0,385.0,33.9,70.3,18623520245
013,01318623520245,Dumbbell Shoulder Press,"0:43,7","0:49,1",15,Unknown,6.0,90.0,43.7,49.1,18623520245
014,01418623520245,Dumbbell Shoulder Press,"0:37,7","1:25,9",12,Unknown,10.0,120.0,37.7,85.9,18623520245
015,01518623520245,Dumbbell Shoulder Press,"0:36,7","1:51,7",12,Unknown,10.0,120.0,36.7,111.7,18623520245
016,01618623520245,Barbell Deadlift,"1:45,6","1:57,6",15,Unknown,30.0,450.0,105.6,117.6,18623520245
017,01718623520245,Barbell Deadlift,"1:12,8","1:37,1",10,Unknown,40.0,400.0,72.8,97.1,18623520245
018,01818623520245,Barbell Deadlift,"1:09,6","2:15,3",8,Unknown,40.0,320.0,69.6,135.3,18623520245
019,01918623520245,Triceps Press-down,"0:36,0","1:08,0",15,Unknown,22.5,337.5,36.0,68.0,18623520245
020,02018623520245,Triceps Press-down,"0:31,7","1:24,1",9,Unknown,35.0,315.0,31.7,84.1,18623520245
021,02118623520245,Triceps Press-down,"0:36,9","1:01,2",9,Unknown,35.0,315.0,36.9,61.2,18623520245
022,02218623520245,Knee Raises,"0:42,6","1:15,5",15,Unknown,Bodyweight,,42.6,75.5,18623520245
023,02318623520245,Knee Raises,"0:29,1","1:39,1",11,Unknown,Bodyweight,,29.1,99.1,18623520245
024,02418623520245,Knee Raises,"0:26,0","1:05,5",9,Unknown,Bodyweight,,26.0,65.5,18623520245
025,02518623520245,Dumbbell Hammer Curl,"0:51,7","1:36,0",15,Unknown,8.0,120.0,51.7,96.0,18623520245
026,02618623520245,Dumbbell Hammer Curl,"0:40,3","1:31,7",12,Unknown,10.0,120.0,40.3,91.7,18623520245
027,02718623520245,Dumbbell Hammer Curl,"0:41,1","1:01,3",10,Unknown,10.0,100.0,41.1,61.3,18623520245
028,02818623520245,Dumbbell Lateral Raise,"0:46,0","1:27,7",15,Unknown,7.0,105.0,46.0,87.7,18623520245
029,02918623520245,Dumbbell Lateral Raise,"0:28,7","1:12,2",10,Unknown,9.0,90.0,28.7,72.2,18623520245
030,03018623520245,Dumbbell Lateral Raise,"0:39,0","3:05,0",9,Unknown,9.0,81.0,39.0,185.0,18623520245
031,03118623520245,Weighted Seated Calf Raise,"0:24,4","0:56,3",15,Unknown,20.0,300.0,24.4,56.3,18623520245
032,03218623520245,Weighted Seated Calf Raise,"0:25,8","1:14,4",10,Unknown,40.0,400.0,25.8,74.4,18623520245
033,03318623520245,Weighted Seated Calf Raise,"0:28,8","0:04,6",10,Unknown,40.0,400.0,28.8,4.6,18623520245
