set_uid,set_activity_id,set_date,set_exercise,set_active_time,set_rest_time,set_repetitions,set_weight,set_load
00118623520245,18623520245,2025-03-24,Barbell Bench Press,"PT52.800S","PT1M21.400S",15,20,300
00218623520245,18623520245,2025-03-24,Barbell Bench Press,"PT44.900S","PT1M31.700S",12,30,360
00318623520245,18623520245,2025-03-24,Barbell Bench Press,"PT37.600S","PT2M18.300S",10,30,300
00418623520245,18623520245,2025-03-24,Barbell Back Squat,"PT1M12.100S","PT1M26.900S",15,30,450
00518623520245,18623520245,2025-03-24,Barbell Back Squat,PT56S,"PT1M34.100S",11,40,440
00618623520245,18623520245,2025-03-24,Barbell Back Squat,"PT54.500S","PT1M35.500S",11,40,440
00718623520245,18623520245,2025-03-24,Seated Cable Row,"PT49.100S","PT1M5.300S",15,33,495
00818623520245,18623520245,2025-03-24,Seated Cable Row,"PT36.800S","PT1M18.300S",12,40,480
00918623520245,18623520245,2025-03-24,Seated Cable Row,"PT35.600S",PT1M27S,11,42.5,467.5
01018623520245,18623520245,2025-03-24,Weighted Crunch,PT44S,"PT1M6.900S",15,25,375
01118623520245,18623520245,2025-03-24,Weighted Crunch,PT35S,PT1M22S,11,35,385
01218623520245,18623520245,2025-03-24,Weighted Crunch,"PT33.900S","PT1M10.300S",11,35,385
01318623520245,18623520245,2025-03-24,Dumbbell Shoulder Press,"PT43.700S","PT49.100S",15,6,90
01418623520245,18623520245,2025-03-24,Dumbbell Shoulder Press,"PT37.700S","PT1M25.900S",12,10,120
01518623520245,18623520245,2025-03-24,Dumbbell Shoulder Press,"PT36.700S","PT1M51.700S",12,10,120
01618623520245,18623520245,2025-03-24,Barbell Deadlift,"PT1M45.600S","PT1M57.600S",15,30,450
01718623520245,18623520245,2025-03-24,Barbell Deadlift,"PT1M12.800S","PT1M37.100S",10,40,400
01818623520245,18623520245,2025-03-24,Barbell Deadlift,"PT1M9.600S","PT2M15.300S",8,40,320
01918623520245,18623520245,2025-03-24,Triceps Press-down,PT36S,PT1M8S,15,22.5,337.5
02018623520245,18623520245,2025-03-24,Triceps Press-down,"PT31.700S","PT1M24.100S",9,35,315
02118623520245,18623520245,2025-03-24,Triceps Press-down,"PT36.900S","PT1M1.200S",9,35,315
02218623520245,18623520245,2025-03-24,Knee Raises,"PT42.600S","PT1M15.500S",15,-999,-14985
02318623520245,18623520245,2025-03-24,Knee Raises,"PT29.100S","PT1M39.100S",11,-999,-10989
02418623520245,18623520245,2025-03-24,Knee Raises,PT26S,"PT1M5.500S",9,-999,-8991
02518623520245,18623520245,2025-03-24,Dumbbell Hammer Curl,"PT51.700S",PT1M36S,15,8,120
02618623520245,18623520245,2025-03-24,Dumbbell Hammer Curl,"PT40.300S","PT1M31.700S",12,10,120
02718623520245,18623520245,2025-03-24,Dumbbell Hammer Curl,"PT41.100S","PT1M1.300S",10,10,100
02818623520245,18623520245,2025-03-24,Dumbbell Lateral Raise,PT46S,"PT1M27.700S",15,7,105
02918623520245,18623520245,2025-03-24,Dumbbell Lateral Raise,"PT28.700S","PT1M12.200S",10,9,90
03018623520245,18623520245,2025-03-24,Dumbbell Lateral Raise,PT39S,PT3M5S,9,9,81
03118623520245,18623520245,2025-03-24,Weighted Seated Calf Raise,"PT24.400S","PT56.300S",15,20,300
03218623520245,18623520245,2025-03-24,Weighted Seated Calf Raise,"PT25.800S","PT1M14.400S",10,40,400
03318623520245,18623520245,2025-03-24,Weighted Seated Calf Raise,"PT28.800S","PT4.600S",10,40,400
